"Observation","US_population","Time"
"1970","205052","1"
"1971","207661","2"
"1972","209896","3"
"1973","211909","4"
"1974","213854","5"
"1975","215973","6"
"1976","218035","7"
"1977","220239","8"
"1978","222585","9"
"1979","225055","10"
"1980","227726","11"
"1981","229966","12"
"1982","232188","13"
"1983","234307","14"
"1984","236348","15"
"1985","238466","16"
"1986","240651","17"
"1987","242804","18"
"1988","245021","19"
"1989","247342","20"
"1990","249948","21"
"1991","252639","22"
"1992","255374","23"
"1993","258083","24"
"1994","260599","25"
"1995","263044","26"
"1996","265463","27"
"1997","268008","28"
"1998","270561","29"
"1999","273131","30"
